Treatment;C_level;N_type;Replicate;Soil_C_Spring;Plants_m2;AGB_g_m2;Seeds_plant;Seeds_ear;Ears_plant;HI;Yield_tha;Thousand_seed_weight_g
E3;E;3;1;2,1852;942,22;670,2222222;12,08;11,96;1,01;,49;2,89;25,37
E2;E;2;1;2,7529;924,44;597,4222222;11,77;12,36;,95;,5;2,67;24,54
E1;E;1;1;3,0231;773,33;403,0222222;9,77;9,88;,99;,48;1,76;23,35
C1;C;1;1;3,2127;951,11;483,8222222;8,58;9;,95;,49;2,13;26,09
C3;C;3;1;2,8982;888,89;450,2222222;9,15;9,15;1;,51;2,05;25,18
C2;C;2;1;2,9211;1004,44;587,2888889;10,01;10,28;,97;,5;2,61;25,95
B3;B;3;1;2,9627;728,89;417,4222222;10,87;12,55;,87;,49;1,87;23,59
B1;B;1;1;2,9191;862,22;357,1555556;7,48;7,64;,98;,5;1,6;24,78
B2;B;2;1;3,0831;746,67;395,9111111;9,04;9,61;,94;,52;1,86;27,6
D1;D;1;1;2,932;773,33;332,9777778;8,2;8,7;,94;,52;1,59;25,11
D2;D;2;1;3,0911;924,44;420,9777778;7,89;8,64;,91;,51;1,98;27,06
D3;D;3;1;3,3299;888,89;410,0444444;7,97;9,06;,88;,53;2;28,29
A2;A;2;1;3,9981;640;257,1555556;6,97;7,28;,96;,54;1,28;28,63
A1;A;1;1;4,1653;693,33;242,6666667;6,42;6,77;,95;,55;1,25;28,08
A3;A;3;1;4,4483;808,89;249,0666667;5,44;5,63;,97;,53;1,25;28,32
D1;D;1;2;3,5604;808,89;166,7555556;3,42;4,32;,79;,42;,66;23,7
D3;D;3;2;3,7444;880;257,6;5,14;5,36;,96;,48;1,17;25,91
D2;D;2;2;3,472;711,11;135,2888889;3,78;3,78;1;,5;,64;23,87
B1;B;1;2;3,1657;746,67;269,5111111;6,32;6,32;1;,56;1,42;29,98
B2;B;2;2;2,8166;755,56;406,3111111;9;9,11;,99;,55;2,08;30,6
B3;B;3;2;2,8683;862,22;252,8888889;4,38;4,78;,92;,43;1,01;26,73
C2;C;2;2;3,655;800;266,7555556;5,59;5,92;,94;,53;1,3;29,17
C3;C;3;2;3,3176;773,33;332,9777778;7,43;7,43;1;,56;1,74;30,22
C1;C;1;2;3,4479;720;221,4222222;4,91;6,03;,81;,43;,89;25,25
E3;E;3;2;3,3155;817,78;378,8444444;8,02;8,2;,98;,54;1,9;28,89
E2;E;2;2;3,6971;853,33;361,5111111;7,28;7,28;1;,57;1,9;30,66
E1;E;1;2;3,3669;675,56;176,0888889;5,03;5,31;,95;,53;,87;25,6
A3;A;3;2;3,9034;568,89;260,9777778;7,25;7,37;,98;,54;1,3;31,62
A1;A;1;2;3,7065;488,89;153,6;4,55;6,58;,69;,41;,6;27,08
A2;A;2;2;3,4441;586,67;152,9777778;4,2;5,04;,83;,46;,66;26,68
C1;C;1;3;2,8999;960;170,8444444;2,78;4,17;,67;,35;,56;20,87
C3;C;3;3;2,8431;1102,22;404,2666667;6,3;7,89;,8;,43;1,63;23,5
C2;C;2;3;3,0294;808,89;248,0888889;5,35;6,09;,88;,51;1,17;27,02
E3;E;3;3;3,1592;1013,33;494,1333333;9,1;9,51;,96;,53;2,4;26,07
E2;E;2;3;2,922;915,56;418,5777778;8,85;9,03;,98;,53;2,03;25
E1;E;1;3;3,1542;933,33;238,2222222;5;5,36;,93;,53;1,17;24,99
B3;B;3;3;3,3045;915,56;598,9333333;11,29;11,75;,96;,55;3,05;29,49
B1;B;1;3;3,3934;915,56;325,4222222;7,14;7,14;1;,54;1,63;24,95
B2;B;2;3;3,5548;880;451,9111111;9,47;9,67;,98;,54;2,26;27,08
A3;A;3;3;3,3933;773,33;243,2888889;5,85;6,13;,95;,56;1,26;27,88
A2;A;2;3;3,248;915,56;361,6888889;6,54;6,54;1;,56;1,88;31,42
A1;A;1;3;3,0288;773,33;290,4;6,85;7,36;,93;,55;1,46;27,48
D2;D;2;3;2,971;604,44;155,2888889;2,65;4,86;,54;,23;,34;21,28
D1;D;1;3;3,0795;577,78;87,91111111;1,03;4,47;,23;,09;,08;13,58
D3;D;3;3;3,242;577,78;162,8444444;3,94;6,4;,62;,37;,57;24,84
B1;B;1;4;3,0653;720;127,8222222;2,81;3,51;,8;,41;,48;23,68
B2;B;2;4;2,7856;871,11;216,8888889;3,85;5,09;,76;,41;,83;24,64
B3;B;3;4;2,7967;986,67;336,8888889;5,77;7,82;,74;,45;1,42;24,87
E1;E;1;4;3,1832;915,56;357,6;7,73;8,84;,87;,49;1,6;22,63
E3;E;3;4;2,9334;728,89;335,8222222;8,71;9,27;,94;,51;1,59;25,07
E2;E;2;4;2,9836;826,67;296,5333333;6,97;6,97;1;,54;1,46;25,43
A3;A;3;4;3,092;791,11;348,0888889;7,7;8,56;,9;,47;1,51;24,73
A2;A;2;4;3,2661;995,56;450,8444444;8,63;9,66;,89;,5;2,08;24,25
A1;A;1;4;3,1861;746,67;299,3777778;7,54;8,33;,9;,48;1,31;23,3
D2;D;2;4;3,134;737,78;325,8666667;8,02;8,88;,9;,47;1,41;23,86
D3;D;3;4;3,0498;871,11;487,6444444;10,49;11,42;,92;,52;2,31;25,23
D1;D;1;4;2,8273;800;339,1111111;8,39;9,56;,88;,46;1,41;20,94
C2;C;2;4;2,3373;764,44;188,5333333;2,59;4,74;,55;,19;,33;16,64
C1;C;1;4;2,5271;337,78;144,6222222;4,34;13,75;,32;,18;,24;16,06
C3;C;3;4;2,2986;773,33;193,8666667;2,05;6,36;,32;,17;,3;19,04
